Date,GasProductionC1,LiquidProductionC1,GasProductionC2,LiquidProductionC2,GasProductionC3,LiquidProductionC3
2013-08-26,375.642,120.5,26.8702,0.0,0.0,0.0
2013-08-27,369.7693,134.4,30.0393,0.0,0.0,0.0
2013-08-28,367.3908,154.4,28.7862,13.4,0.0,0.0
2013-08-29,363.387,118.3,27.8541,11.2,0.0,0.0
2013-08-30,366.8924,147.7,26.9558,9.9,0.0,0.0
2013-08-31,363.2764,135.5,26.2043,13.2,0.0,0.0
2013-09-01,360.7616,128.3,25.6492,21.5,0.0,0.0
2013-09-02,354.7507,148.1,24.2188,10.3,0.0,0.0
2013-09-03,350.9003,106.7,24.6094,11.2,0.0,0.0
2013-09-04,373.1866,133.3,24.2349,20.6,0.0,0.0
2013-09-05,381.591,108.4,23.8936,9.5,0.0,0.0
2013-09-06,406.942,156.2,23.6308,16.3,0.0,0.0
2013-09-07,402.5399,149.4,23.4492,18.5,0.0,0.0
2013-09-08,400.9941,161.7,23.2662,11.0,0.0,0.0
2013-09-09,399.7441,154.3,23.1599,17.0,0.0,0.0
2013-09-10,403.0104,138.5,23.0295,11.9,0.0,0.0
2013-09-11,398.1922,154.0,22.8337,10.2,0.0,0.0
2013-09-12,391.0487,114.0,22.7247,20.3,0.0,0.0
2013-09-13,384.8814,153.3,22.618,10.1,0.0,0.0
2013-09-14,387.123,137.3,22.3608,12.1,0.0,0.0
2013-09-15,384.9871,140.6,22.2403,19.0,0.0,0.0
2013-09-16,379.6279,142.5,22.144,10.5,0.0,0.0
2013-09-17,376.7446,133.1,22.0053,15.0,0.0,0.0
2013-09-18,374.538,125.7,21.7704,9.0,0.0,0.0
2013-09-19,368.4977,113.6,21.7684,12.2,0.0,0.0
2013-09-20,364.2833,131.4,21.6407,9.9,0.0,0.0
2013-09-21,361.1917,129.8,21.558,14.33,0.0,0.0
2013-09-22,361.445,124.9,21.4989,12.9,0.0,0.0
2013-09-23,364.3232,120.2,21.4094,14.0,0.0,0.0
2013-09-24,364.8428,113.7,21.2996,10.5,0.0,0.0
2013-09-25,370.7004,152.9,21.4709,11.3,0.0,0.0
2013-09-26,389.336,138.5,21.0611,9.2,0.0,0.0
2013-09-27,402.577,133.4,24.2724,22.8,0.0,0.0
2013-09-28,411.4484,137.3,24.2592,10.7,0.0,0.0
2013-09-29,418.4878,160.8,24.2409,21.5,0.0,0.0
2013-09-30,414.3767,136.2,24.1362,11.7,0.0,0.0
2013-10-01,408.12370000000004,160.7,24.0643,10.7,0.0,0.0
2013-10-02,405.2624,140.1,23.9601,9.5,0.0,0.0
2013-10-03,406.3652,151.2,23.8511,16.6,0.0,0.0
2013-10-04,402.6942,140.9,23.7296,9.6,0.0,0.0
2013-10-05,413.1639,191.6,23.5947,10.3,0.0,0.0
2013-10-06,421.3397,144.8,23.4799,15.2,0.0,0.0
2013-10-07,418.2146,177.3,23.377,9.3,0.0,0.0
2013-10-08,412.9681,195.9,23.1941,10.7,0.0,0.0
2013-10-09,415.7242,112.9,22.9055,10.5,0.0,0.0
2013-10-10,422.4653,139.9,22.8791,9.3,0.0,0.0
2013-10-11,426.0997,153.2,22.7454,11.0,0.0,0.0
2013-10-12,418.9375,133.0,22.6391,10.3,0.0,0.0
2013-10-13,412.3665,123.0,22.4582,10.2,0.0,0.0
2013-10-14,410.38230000000004,148.7,22.2336,9.9,0.0,0.0
2013-10-15,406.7149,143.4,21.907,10.7,0.0,0.0
2013-10-16,410.9135,150.5,21.6486,10.1,0.0,0.0
2013-10-17,425.6707,163.6,21.450599999999998,8.6,0.0,0.0
2013-10-18,422.3386,173.5,21.278,15.2,0.0,0.0
2013-10-19,425.8158,178.5,21.1249,9.4,0.0,0.0
2013-10-20,424.2704,144.0,20.9616,10.5,0.0,0.0
2013-10-21,421.19960000000003,150.9,20.814799999999998,10.8,0.0,0.0
2013-10-22,417.7187,111.8,20.616799999999998,9.3,0.0,0.0
2013-10-23,407.4019,129.0,20.377499999999998,9.6,0.0,0.0
2013-10-24,403.84220000000005,102.0,25.667099999999998,20.6,0.0,0.0
2013-10-25,406.8091,142.2,25.7804,8.0,0.0,0.0
2013-10-26,411.7359,147.5,25.4756,11.3,0.0,0.0
2013-10-27,411.0077,119.2,25.0248,13.2,0.0,0.0
2013-10-28,393.2957,143.6,27.650299999999998,11.0,0.0,0.0
2013-10-29,407.3937,138.2,43.957,9.1,0.0,0.0
2013-10-30,416.2532,136.2,47.3264,10.9,0.0,0.0
2013-10-31,408.58500000000004,118.6,45.8769,9.3,0.0,0.0
2013-11-01,417.4116,147.7,44.5803,11.8,0.0,0.0
2013-11-02,426.43800000000005,119.8,42.358,22.3,0.0,0.0
2013-11-03,425.8543,146.8,41.788399999999996,9.7,0.0,0.0
2013-11-04,417.548,147.9,41.2178,23.6,0.0,0.0
