,WellNo,MAE,RCPE
0,SN0114-19H,0.15533981711523875,0.06231019356780348
0,SN0114-07,0.08834927520751955,0.02119188466808877
0,SN3,0.037954846872602165,0.01045761507856329
0,SN0116-06,0.03499473830631802,0.01785427721429725
0,SN0116-09,0.09422999232155933,0.06853183799049095
0,SN0116-07,0.5254595202445984,0.4585847821322216
0,SN0115-20H,0.05092550615583147,0.03511405839230478
0,SN0112-07,0.12676116428375248,0.07401923558604569
0,SN0138-03,0.3439734066554478,0.5096441626813705
0,SN0138-04,0.03610601493290492,0.04262090814857414
0,SN0138-08,0.048481524331229084,0.0023761198720844705
0,SN0138-09,0.44045297119958066,0.6479836190920134
0,SN0114-20H,0.049714395890917085,0.01655692304989671
0,SN0106-01,0.12499740807669506,0.02564912258306322
0,SN0135-04,0.020998143087114642,0.01246514278367563
0,SN0135-06,0.4902596153804234,1.4008562111525604
0,SN0135-07,0.04619461778913223,0.013557041617599025
0,SN0086-03,0.11088449093954902,0.5054704150224392
0,SN0086-06,0.17681837989262172,0.03868180708833939
0,SN0104-08,0.07956006693158832,0.021655094810440673
0,SN0084-02,0.046829562323434014,0.026555775394620135
0,SN0084-04,0.08570530339649747,0.1811648435566443
0,SN0084-06,0.13490292064121792,0.10271674114838697
0,SN0084-07,0.04691216190883092,0.0850622990118715
0,SN0084-08,0.07231214011056086,0.04483326238643443
0,SN0084-09,0.04898109866550989,0.040571765028239316
0,SN0144-02,0.032114253725324414,0.01748323241778102
0,SN0167-02,0.09406589938572474,0.06634452404683824
0,SN0167-04,0.22500798883438114,0.3785710718541317
0,SN0049-04,0.21000042757306783,0.03369731083465093
0,SN0165-06,0.19536389878136773,0.19699417587120005
0,SN0143-07,0.08861951476505824,0.15813358963319699
0,SN0143-09,0.050420441068921774,0.0014883140999175806
0,SN0167-05,0.02873141588483538,0.019820644454568277
0,SN0142-05,0.09883615758078441,0.0031632538632776186
0,SN0142-03,0.11105932228905814,0.15304952794752888
0,SN0142-07,0.06830608149937221,0.007782033799170153
0,SN0143-01,0.12768116707120622,0.03566934813347644
0,SN0167-08,0.172028655569894,0.26812781122613155
0,SN0142-09,0.05866811866760254,0.004149454797694039
0,SN0083-01,0.08273803367614743,0.021574285060809797
0,SN0143-03,0.09080530407769341,0.0018154745171167967
0,SN0168-02,0.062136075864519365,0.010628963521677704
0,SN0085-03,0.08173481942585537,0.07085600194017737
0,SN0085-02,0.11804763832092283,0.0048078734403308124
0,SN0085-09,0.06687850976671493,0.011241016796922635
0,SN0166-03,0.10807095721108571,0.00040563927960673133
0,SN0166-05,0.18919434010641917,0.1753400244102161
0,SN0145-05,0.3222405489104135,0.9256748107414222
0,SN0174-08,0.11950582199096679,0.1694284736133013
0,SN0174-09,0.1892148168018886,0.35299900929785705
0,SN0105-03,0.13035974035263062,0.03119585198519238
0,SN0105-07,0.2383611599785941,0.12262453507097265
0,SN0105-08,0.061142763396671844,0.06830646444463807
0,SN0105-06,0.04684199810028078,0.025345567884785435
0,SN0113-09,0.023296218599591873,0.012976161000923333
0,SN0113-01,0.029687549155099063,0.016726913093619386
0,SN0113-07,0.29452200397763934,0.6201027741974855
0,SN0004-04,0.042795861761910574,0.0013961288633911864
0,SN0076-02,0.0210969186101641,0.01872880154759068
0,SN0076-08,0.14327953224182124,0.2716126351268198
0,SN0076-05,0.05504155706678119,0.05784174783663844
0,SN0021-01,0.04110510444641115,0.014656877610176143
0,SN0054-03,0.29836789152962817,0.11701867391390666
0,SN0054-06,0.23785561519350326,0.11118725167818871
0,SN0021-02,0.06629347030094689,0.014659560391499864
0,SN0054-01,0.20569357667650495,0.2773859410301077
0,SN0015-01,0.1294429036821638,0.1538935169714954
0,SN0015-03,0.0632459167752947,0.06226696530133123
0,SN0039-01,0.11257244740894864,0.4416428713759345
0,SN0039-08,0.15327479632241386,0.10947216556945179
0,SN0015-04,0.08471812970297678,0.09248580918749208
0,SN0039-09,0.18687880250385833,0.5758912377969359
0,SN0039-02i,0.1471402567999704,0.019549015103957124
0,SN0039-06,0.10366908705575131,0.027095014383095948
0,SN0039-07i,0.7434917605263847,0.4301813905921968
0,SN0039-08i,0.11883768926348003,0.004112054326063862
0,SN0039-15,0.08959978904724124,0.007356164684305786
0,SN0043-03i,0.16157098530360625,0.00201900249095105
0,SN0043-09,0.16848913405282154,0.7103771346725805
0,SN0043-08,0.05289921441759382,0.024137981375171712
0,SN0082-06,0.23739030459267754,0.23810052281238278
0,SN0012-03,0.06142179742540632,0.046269299542927286
0,SN0007-08,0.2207376207351684,0.6180267144677338
0,SN0019-05,0.19358784768240792,0.10970639121220249
0,SN0019-03,0.06047759878976005,0.0193159471843064
0,SN0139-06,0.08418798437118533,0.08588809705938909
0,SN0139-05,0.06985371540614535,0.059768509536240015
0,SN0019-06,0.04796522278104511,0.008741000151160173
0,SN0139-03,0.35883073340824667,0.03673943512731326
0,SN0139-07,0.04609138217653546,0.026236832287751557
0,SN0139-08,0.22518113463265557,0.05059117007236356
0,SN0019-08,0.11251144071306506,0.05147029234667984
0,SN0012-05,0.06401458360127034,0.006029480398586891
0,SN0012-04,0.070982359450204,0.029015006418274633
0,SN0012-06,0.12984968921116422,0.06783012246880493
0,SN0012-08,0.044663196345738045,0.009397148836744034
0,SN0008-01,0.06558414355686727,0.03114247815116173
0,SN0008-07,0.059465005479540145,0.1434085930059455
0,SN0008-04,0.5562000563894,0.5723652611487093
0,SN0008-08,0.0577739086968558,0.012277221324087748
0,SN0033-05,0.13245354998452324,0.2797691555856502
0,SN0033-07,0.5492778229577201,2.858482551418728
0,SN0033-01,0.05800712432861329,0.0037490077560188868
0,SN0035-05,0.11330425635746545,0.08539846192615465
0,SN0035-02,0.10541762529100687,0.05865609629261002
0,SN0033-03,0.05604006650107248,0.013590005705350619
0,SN0134-09,0.09278095752171112,0.01212771882149274
0,SN0134-04,0.06151049237932479,0.017034229985622318
0,SN0041-03,0.14884832235063822,0.0818258344983727
0,SN0035-03,0.1969392300469536,0.015913552276825737
0,SN0033-08,0.09244020620073597,0.03261731811344049
0,SN0041-05,1.0503267389569966,1.3600197072089741
0,SN0089-08,0.09138586899893626,0.027046113395580974
0,SN0089-01,0.04449444432939804,0.021135767429302347
0,SN0089-05,0.04176475955418181,0.01803958268296681
0,SN0134-07,1.1890142340523853,0.045062940064621734
0,SN0089-02,0.1313007162639073,0.10034994355897366
0,SN0059-08,0.05733272598811556,0.017917262410803096
0,SN0071-06,0.13600893848964146,0.07363908026105363
0,SN0134-08,0.041194867106846465,0.0055473610533433165
0,SN0059-05,0.5506408724103655,0.1463436302905304
0,SN0071-07,0.07704331071036201,0.008489056091080067
0,SN0059-04,0.10420895252227787,0.3033971183811539
0,SN0059-01,0.1250794166292463,0.17039682447944735
0,SN0065-02,0.04093673226492741,0.003256657543432354
0,SN0073-02,0.12993752596718924,0.31565080107152055
0,SN0047-02,0.1073727000917707,0.09678944824904137
0,SN0047-03,0.05878457919529504,0.023298389538255745
0,SN0047-05,0.052742756026131765,0.029362687868631623
0,SN0047-08,0.08068628700801307,0.07980279019065414
0,SN0045-01,0.3102353673117501,0.07342473770067248
0,SN0047-09,0.1575735107421874,0.06890943611737589
0,SN0045-03,0.18264198722839353,0.08239462762738593
0,SN0045-05,0.07954191137041365,0.047420376267282516
0,SN0045-06,0.19163036411830361,0.07679388521832435
0,SN0037-06,0.07029695677076066,0.03216678475772784
0,SN0017-08,0.17946302304949083,0.05762645668643793
0,SN0107-01,0.14068741449628558,0.23964063851763226
0,SN0045-07,0.3604820371627807,0.12387727016421297
0,SN0045-02,0.4406794200897216,0.17457779649657346
0,SN0017-06,0.06755579180036274,0.047465035851420485
0,SN0045-09,0.43472706146240236,0.027486516142959133
0,SN0107-02,0.036443795885358544,0.015834807345537983
0,SN0152-03,0.0993003842762538,0.0019818107690408497
0,SN0130-03,0.10292331019810266,0.005682573540471917
0,SN0130-06,0.1554862391880581,0.0468257495285349
0,SN0146-01,0.06624375732966833,0.0031715199676592854
0,SN0146-03,0.09670990546090263,0.023654829769435268
0,SN0146-08,0.05978431760243008,0.06137177567794015
0,SN0146-07,0.12958048768724714,0.05117318877972976
0,SN0119-03,0.038258533586774564,0.014401783832681243
0,SN0130-04,0.16874824752807616,0.01730298487727932
0,SN0152-04,0.14038814031055996,0.09189856922729253
0,SN0146-05,0.1728696645191737,0.038880016626624395
0,SN0146-09,0.027801274817330506,0.007304431397839531
0,SN0119-02,0.18137404845101493,0.05914709843907562
0,SN0152-07,0.11793353759220666,0.047352960995126876
0,SN0119-09,0.16648912372589114,0.03244643273368032
0,SN0146-04,0.017500808552333273,0.014069677958391355
0,SN0107-06,0.43846535882949833,0.34246698036320683
0,SN0152-05,0.14348833923339838,0.027561561636643795
0,SN0152-09,0.12798915898459295,0.0505361375301065
0,SN0119-01,0.06577858897617886,0.0014844457908447712
0,SN0107-04,0.05946325966971263,0.006727198820319716
0,SN0128-04,1.1844212175096784,0.5627728320330262
